observation_date,MADI555PCPI
1969-01-01,4247
1970-01-01,4524
1971-01-01,4846
1972-01-01,5219
1973-01-01,5766
1974-01-01,6172
1975-01-01,6920
1976-01-01,7488
1977-01-01,8234
1978-01-01,9141
1979-01-01,10037
1980-01-01,10981
1981-01-01,11855
1982-01-01,12730
1983-01-01,13441
1984-01-01,14550
1985-01-01,15464
1986-01-01,16357
1987-01-01,17281
1988-01-01,17874
1989-01-01,19656
1990-01-01,20760
1991-01-01,21445
1992-01-01,22901
1993-01-01,23730
1994-01-01,24864
1995-01-01,26000
1996-01-01,27058
1997-01-01,28409
1998-01-01,30340
1999-01-01,31440
2000-01-01,33692
2001-01-01,35483
2002-01-01,36393
2003-01-01,37221
2004-01-01,38393
2005-01-01,39466
2006-01-01,41579
2007-01-01,42975
2008-01-01,43830
2009-01-01,42682
2010-01-01,43456
2011-01-01,46048
2012-01-01,47542
2013-01-01,48257
2014-01-01,49751
2015-01-01,52069
2016-01-01,53309
2017-01-01,55045
2018-01-01,58010
2019-01-01,60876
2020-01-01,63796
2021-01-01,70480
2022-01-01,71900
2023-01-01,75862
